"subject","body","label"
"Appointment Reminder","This is a reminder of your appointment on Thursday, January 25th at 2:00 PM with Dr. Smith.","legitimate"
"Credit Card Payment Due Reminder","Your credit card payment of $145.50 is due on January 25th. Set up auto-pay to never miss a payment.","legitimate"
"Team Meeting Tomorrow at 10 AM","Reminder: Our weekly team meeting is scheduled for tomorrow at 10 AM in Conference Room B. Please review the agenda.","legitimate"
"Unclaimed Tax Refund","You have an unclaimed refund of $3,200. Click here within 48 hours and provide your bank details to receive payment.","phishing"
"IRS Account Suspended","Your IRS account has been suspended due to suspicious activity. Verify your identity immediately to avoid legal action.","phishing"
"Final Notice: Package Return","Your package will be returned in 24 hours. Prevent this by clicking here and updating your delivery preferences now.","phishing"
"Change Your Password Immediately","Your password has been compromised in a data breach. Click here and change it now to protect your account from hackers.","phishing"
"Your Subscription Renewal","Your annual subscription will renew on February 1st for $99.99. Manage your subscription in account settings.","legitimate"
"Congratulations! You've Won $1,000,000","You have been selected as our grand prize winner! Claim your prize now by providing your bank details for direct deposit.","phishing"
"URGENT: Verify Your Account","Your account has been compromised. Click here immediately to verify your identity or your account will be suspended within 24 hours.","phishing"
"PayPal Prize Alert","You've won $750 PayPal cash! To receive it, verify your PayPal account by logging in through this secure link immediately.","phishing"
"Package Delivery Failed","We attempted to deliver your package but failed. Click here and confirm your address to reschedule delivery today.","phishing"
"Office Closure Notice","The office will be closed on Monday, February 19th for Presidents' Day. Regular hours resume on Tuesday.","legitimate"
"DHL: Action Required","Your parcel is on hold. Confirm your delivery details and pay the storage fee of $8.50 to avoid return to sender.","phishing"
"You Have 3 New Messages","You have unread messages from your friends. Open the app to read and respond to them.","legitimate"
"Unauthorized Transaction Alert","We noticed an unauthorized transaction of $2,450. Click here to cancel this payment and secure your account now.","phishing"
"Deadline Extension Approved","Your request for a deadline extension has been approved. The new due date is March 15th instead of March 1st.","legitimate"
"Training Session Registration","Register for next month's professional development training on effective communication. Limited spots available.","legitimate"
"Amazon Gift Card Winner","Congratulations! You've won a $500 Amazon gift card. Click here and enter your payment information to cover shipping costs.","phishing"
"UPS: Confirm Your Address","Your package is waiting. Update your delivery address and pay the $3.99 redelivery fee to receive your shipment.","phishing"
"Annual Account Review","It's time for your annual account review. Schedule an appointment with your financial advisor through your online portal.","legitimate"
"Warranty Registration","Register your recent purchase to extend your warranty by an additional 6 months at no cost.","legitimate"
"Password Reset Request","We received a password reset request. If this wasn't you, click here immediately and verify your current credentials.","phishing"
"Stimulus Check Notification","Your stimulus payment of $1,400 is ready. Enter your banking information here to receive your money immediately.","phishing"
"Seasonal Product Guide","Spring is coming! Check out our guide to the best products for spring cleaning, gardening, and outdoor activities.","legitimate"
"Walmart Gift Card Giveaway Winner","You won our $1000 Walmart gift card! Click to claim within 48 hours. Enter your personal details to verify eligibility.","phishing"
"IRS: Tax Refund Approved","You're eligible for a $2,847 tax refund. Click here to claim it by providing your bank account details for direct deposit.","phishing"
"Your Weekly Podcast Digest","New episodes from your favorite podcasts are available. Listen now to stay up to date.","legitimate"
"Critical: Confirm Your Identity","We couldn't verify your identity. Click here and enter your account number, password, and SSN to avoid account closure.","phishing"
"Quarterly Review Schedule","Your quarterly performance review is scheduled for next week. Please complete your self-assessment form beforehand.","legitimate"
"You're Our Lucky Winner!","Click here to claim your prize of $50,000. You must act within 24 hours or the prize goes to another participant.","phishing"
"Medicare Eligibility Update","Update your Medicare information now. Click here and enter your social security number and date of birth to continue coverage.","phishing"
"Membership Renewal Notice","Your gym membership expires in 30 days. Renew online to continue enjoying all our facilities and classes.","legitimate"
"Mandatory Password Change","As part of our security audit, you must change your password today. Use this link and enter your current password first.","phishing"
"New Comment on Your Post","Emily and 5 others commented on your recent post. See what they said.","legitimate"
